iso_code,country,2021_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
YEM,Yemen,30882462.00,29825964.00,"527,968 sq_km",58/sq_km,2.23%,0.39%,48
NPL,Nepal,29960704.00,29136808.00,"147,181 sq_km",202/sq_km,1.85%,0.38%,49
VEN,Venezuela,28842889.00,28435940.00,"916,445 sq_km",31/sq_km,0.95%,0.36%,50
MDG,Madagascar,28860961.00,27691018.00,"587,041 sq_km",48/sq_km,2.66%,0.36%,51
CMR,Cameroon,27624492.00,26545863.00,"475,442 sq_km",57/sq_km,2.56%,0.35%,52
CIV,Ivory Coast,27451054.00,26378274.00,"322,463 sq_km",84/sq_km,2.56%,0.34%,53
PRK,North Korea,25950189.00,25778816.00,"120,538 sq_km",215/sq_km,0.42%,0.33%,54
AUS,Australia,25959987.00,25499884.00,"7,692,024 sq_km",3/sq_km,1.13%,0.33%,55
NER,Niger,25677816.00,24206644.00,"1,267,000 sq_km",20/sq_km,3.82%,0.32%,56
TWN,Taiwan,23877855.00,23816775.00,"36,193 sq_km",659/sq_km,0.16%,0.30%,57
LKA,Sri Lanka,21547096.00,21413249.00,"65,610 sq_km",328/sq_km,0.39%,0.27%,58
BFA,Burkina Faso,21847968.00,20903273.00,"272,967 sq_km",79/sq_km,2.84%,0.27%,59
MLI,Mali,21212426.00,20250833.00,"1,240,192 sq_km",17/sq_km,2.99%,0.26%,60
MWI,Malawi,19953296.00,19129952.00,"118,484 sq_km",166/sq_km,2.71%,0.25%,61
CHL,Chile,19275294.00,19116201.00,"756,102 sq_km",25/sq_km,0.50%,0.24%,62
ROU,Romania,19062255.00,19237691.00,"238,391 sq_km",80/sq_km,-0.57%,0.24%,63
KAZ,Kazakhstan,19123199.00,18776707.00,"2,724,900 sq_km",7/sq_km,1.16%,0.24%,64
ZMB,Zambia,19238117.00,18383955.00,"752,612 sq_km",25/sq_km,2.92%,0.24%,65
SYR,Syria,18646187.00,17500658.00,"185,180 sq_km",99/sq_km,4.43%,0.23%,66
